Unnamed: 0,Nombre_libro,Nombre_autor,Editorial,Formato,Precio
199,No te creas todo lo que piensas ,Joseph Nguyen,Aguilar Fontanar,Multiformato,199
200,Constitución política de los Estados Unidos Mexicanos 15a edición ,Miguel Carbonell,TIRANT LO BLANCH,tapa blanda,39
201,La paciente silenciosa ,Alex Michaelides,Alfaguara,Multiformato,439
202,Ejercicios de Ortografía 3 primaria ,Varios autores,Larousse,tapa blanda,52
203,Apología de Sócrates ,Platón,Gredos,tapa dura,99
204,SEDUCIENDO A MR: BRIDGERTON : BRIDGERTON 4 ,Julia Quinn,Titania,tapa blanda,345
205,La reina de espadas ,Jazmina Barrera,Lumen,Multiformato,319
206,Mis días en la librería Morisaki ,Satoshi Yagisawa,Plata,tapa blanda,195
207,Los alemanes ( Premio Alfaguara de novela 2024 ) ,Sergio del Molino,Alfaguara,tapa blanda,389
208,Romper el círculo (It Ends with Us) ,Colleen Hoover,Planeta,tapa blanda,348
209,Un animal salvaje ,Joël Dicker,Alfaguara,Multiformato,489
210,Balún-Canán ,Rosario Castellanos,Fondo De Cultura Economica,Multiformato,74
211,Ejercicios de Caligrafía 1 de primaria ,Varios autores,Larousse,tapa blanda,46
212,El Mundo de Sofía (pocket) ,Jostein Gaarder,Grupo Editorial Patria,tapa blanda,269
213,Cumbres Borrascosas ,Emily Brontë,Alianza editorial,tapa blanda,285
214,El infinito en un junco ,Irene Vallejo,Debolsillo,tapa blanda,429
215,El gato que decía adiós ,Hiro Arikawa,Lumen,tapa blanda,289
216,Los recuerdos del porvenir ,Elena Garro,Alfaguara,Multiformato,429
217,Ejercicios de Ortografía 1 primaria ,Varios autores,Larousse,tapa blanda,52
218,"TD Recupera tu mente, reconquista tu vida ",Marian Rojas Estapé,Espasa México,tapa blanda,428
219,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa blanda,99
220,Los demonios del Edén ,Lydia Cacho,Debolsillo,tapa blanda,351
221,Fabricante de lágrimas ,Erin Doom,Montena,tapa blanda,479
222,LIBRO MAGNETICO BLUEY ,NOVELTY,NOVELTY EDICIONES,tapa dura,197
223,Ejercicios de Caligrafía 3 de primaria ,Varios autores,Larousse,tapa blanda,46
224,Trece latas de atún ,Amandititita,Debolsillo,tapa blanda,179
225,Los sueños de mis fantasmas ,Irene Vallejo Moreu,unam,tapa blanda,38
226,EL VIZCONDE QUE ME AMO : BRIDGERTON 2 ,Julia Quinn,Titania,tapa blanda,340
227,Los vivos ,Emiliano Monge,Random House,Multiformato,299
228,AUTOBIOGRAFIA DE UN YOGUI ,Paramahansa Yogananda,Self-realization fellowship,tapa blanda,250
229,Una corte de hielo y estrellas ,Sarah J. Maas,Booket México,tapa blanda,228
230,EL ARTE DE LA GUERRA ,Sun Tzu,Gandhi editores,tapa dura,249
231,Los puntos sobre las íes ,Maria Amparo Casar,Debate,tapa blanda,299
232,Ejercicios de Caligrafía 5 de primaria ,Varios autores,Larousse,tapa blanda,46
233,"República, Parménides ",Platón,Gredos,tapa dura,99
234,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
235,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
236,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
237,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
238,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
239,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
240,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
241,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
242,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
243,Matemáticas 2. Revuela primaria ,SM de Ediciones,SM,tapa blanda,799
244,La biblioteca de la medianoche ,Matt Haig,AdN,tapa blanda,361
245,Ya te cargó el retiro ,Eduardo Rosas,Grijalbo,tapa blanda,329
246,MEDITACIONES ,Marco Aurelio,Gandhi editores,tapa dura,249
247,"Dinastías: Dos familias, una nación ",Ramón Alberto Garza,Planeta México,tapa blanda,348
248,Romper el círculo (It Ends with Us) (Tie-In) ,Colleen Hoover,Planeta México,tapa blanda,348
249,La ciudad y sus muros inciertos ,Haruki Murakami,Tusquets México,Multiformato,398
250,DEJA DE SER TU ,Joe Dispenza,Urano,tapa blanda,370
251,Un lugar soleado para gente sombría ,Mariana Enriquez,Anagrama Océano,tapa blanda,293
252,Las mujeres que aman demasiado ,Robin Norwood,B de bolsillo,Multiformato,299
253,Relatos de la noche ,Uriel Reyes,Suma,Multiformato,229
254,EL SUTIL ARTE DE QUE TE IMPORTE UN CARAJO 2A. ED. ,Mark Manson,HarperCollins,tapa blanda,222
255,Estrellas De Vainilla ,Aleida Ocegueda,El Naranjo,tapa blanda,122
256,El derechairo que vendió su ferrari ,Jairo Calixto Albarrán,Aguilar,tapa blanda,249
257,El mito de Sísifo ,Albert Camus,Debolsillo,tapa blanda,149
258,Cuando no queden más estrellas que contar ,María Martínez,Crossbooks,tapa blanda,398
259,"Si lo crees, lo creas ",Brian Tracy,Debolsillo,tapa blanda,229
260,Pedro Páramo ,Juan Rulfo,RM,Multiformato,160
261,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa dura,199
262,Agenda Mercantil 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,335
263,Ejercicios Matemáticos 5 ,Varios autores,Larousse,tapa blanda,53
264,El pequeño libro de la realidad ,Odin Dupeyron,Disidente,tapa blanda,396
265,Así no es ,Viri Ríos,Grijalbo,tapa blanda,249
266,Dios. La ciencia. Las pruebas. ,Michel Yves Bollore,Oceano,tapa blanda,395
267,Cuentos gatunos ,Varios Autores,EDICIONES GANDHI,tapa dura,229
268,No te creas todo lo que piensas ,Joseph Nguyen,Aguilar Fontanar,Multiformato,199
269,Constitución política de los Estados Unidos Mexicanos 15a edición ,Miguel Carbonell,TIRANT LO BLANCH,tapa blanda,39
270,La paciente silenciosa ,Alex Michaelides,Alfaguara,Multiformato,439
271,Ejercicios de Ortografía 3 primaria ,Varios autores,Larousse,tapa blanda,52
272,Apología de Sócrates ,Platón,Gredos,tapa dura,99
273,SEDUCIENDO A MR: BRIDGERTON : BRIDGERTON 4 ,Julia Quinn,Titania,tapa blanda,345
274,La reina de espadas ,Jazmina Barrera,Lumen,Multiformato,319
275,Mis días en la librería Morisaki ,Satoshi Yagisawa,Plata,tapa blanda,195
276,Los alemanes ( Premio Alfaguara de novela 2024 ) ,Sergio del Molino,Alfaguara,tapa blanda,389
277,Romper el círculo (It Ends with Us) ,Colleen Hoover,Planeta,tapa blanda,348
278,Un animal salvaje ,Joël Dicker,Alfaguara,Multiformato,489
279,Balún-Canán ,Rosario Castellanos,Fondo De Cultura Economica,Multiformato,74
280,Ejercicios de Caligrafía 1 de primaria ,Varios autores,Larousse,tapa blanda,46
281,El Mundo de Sofía (pocket) ,Jostein Gaarder,Grupo Editorial Patria,tapa blanda,269
282,Cumbres Borrascosas ,Emily Brontë,Alianza editorial,tapa blanda,285
283,El infinito en un junco ,Irene Vallejo,Debolsillo,tapa blanda,429
284,El gato que decía adiós ,Hiro Arikawa,Lumen,tapa blanda,289
285,Los recuerdos del porvenir ,Elena Garro,Alfaguara,Multiformato,429
286,Ejercicios de Ortografía 1 primaria ,Varios autores,Larousse,tapa blanda,52
287,"TD Recupera tu mente, reconquista tu vida ",Marian Rojas Estapé,Espasa México,tapa blanda,428
288,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa blanda,99
289,Los demonios del Edén ,Lydia Cacho,Debolsillo,tapa blanda,351
290,Fabricante de lágrimas ,Erin Doom,Montena,tapa blanda,479
291,LIBRO MAGNETICO BLUEY ,NOVELTY,NOVELTY EDICIONES,tapa dura,197
292,Ejercicios de Caligrafía 3 de primaria ,Varios autores,Larousse,tapa blanda,46
293,Trece latas de atún ,Amandititita,Debolsillo,tapa blanda,179
294,Los sueños de mis fantasmas ,Irene Vallejo Moreu,unam,tapa blanda,38
295,EL VIZCONDE QUE ME AMO : BRIDGERTON 2 ,Julia Quinn,Titania,tapa blanda,340
296,Los vivos ,Emiliano Monge,Random House,Multiformato,299
297,AUTOBIOGRAFIA DE UN YOGUI ,Paramahansa Yogananda,Self-realization fellowship,tapa blanda,250
298,Una corte de hielo y estrellas ,Sarah J. Maas,Booket México,tapa blanda,228
299,EL ARTE DE LA GUERRA ,Sun Tzu,Gandhi editores,tapa dura,249
300,Los puntos sobre las íes ,Maria Amparo Casar,Debate,tapa blanda,299
301,Ejercicios de Caligrafía 5 de primaria ,Varios autores,Larousse,tapa blanda,46
302,"República, Parménides ",Platón,Gredos,tapa dura,99
303,El acto de crear ,Rick Rubin,Diana México,tapa blanda,398
304,TE DOY MI CORAZON : BRIDGERTON 3 ,Julia Quinn,Titania,tapa blanda,345
305,Wiccapedia ,SHAWN ROBBINS,Librero,tapa dura,299
306,Mentalidad mamba ,Kobe Bryant,Planeta,tapa blanda,388
307,Invasión silenciosa ,Jenaro Martínez López,Hachette Literatura,tapa blanda,379
308,Intensamente 2. Libro de arte y Emociones ,Disney,Planeta Infantil México,tapa blanda,128
309,Los ojos de Mona ,Thomas Schlesser,Lumen,tapa blanda,449
310,Cuchillo ,Salman Rushdie,Random House,tapa blanda,249
311,Amor Liquido. Acerca De La Fragilidad De Los Vinculos Humanos: Acerca De La Fragilidad De Los Vincul ,Zygmunt Bauman,Fondo De Cultura Economica,tapa blanda,135
312,Ejercicios Matemáticos 1 ,Varios autores,Larousse,tapa blanda,53
313,El enigma de la habitación 622 ,Joël Dicker,Alfaguara,tapa blanda,219
314,El color de las cosas invisibles ,Andrea Longarela,Crossbooks México,Multiformato,298
315,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
316,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
317,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
318,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
319,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
320,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
321,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
322,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
323,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
324,Matemáticas 2. Revuela primaria ,SM de Ediciones,SM,tapa blanda,799
325,La biblioteca de la medianoche ,Matt Haig,AdN,tapa blanda,361
326,Ya te cargó el retiro ,Eduardo Rosas,Grijalbo,tapa blanda,329
327,MEDITACIONES ,Marco Aurelio,Gandhi editores,tapa dura,249
328,"Dinastías: Dos familias, una nación ",Ramón Alberto Garza,Planeta México,tapa blanda,348
329,Romper el círculo (It Ends with Us) (Tie-In) ,Colleen Hoover,Planeta México,tapa blanda,348
330,La ciudad y sus muros inciertos ,Haruki Murakami,Tusquets México,Multiformato,398
331,DEJA DE SER TU ,Joe Dispenza,Urano,tapa blanda,370
332,Un lugar soleado para gente sombría ,Mariana Enriquez,Anagrama Océano,tapa blanda,293
333,Las mujeres que aman demasiado ,Robin Norwood,B de bolsillo,Multiformato,299
334,Relatos de la noche ,Uriel Reyes,Suma,Multiformato,229
335,EL SUTIL ARTE DE QUE TE IMPORTE UN CARAJO 2A. ED. ,Mark Manson,HarperCollins,tapa blanda,222
336,Estrellas De Vainilla ,Aleida Ocegueda,El Naranjo,tapa blanda,122
337,El derechairo que vendió su ferrari ,Jairo Calixto Albarrán,Aguilar,tapa blanda,249
338,El mito de Sísifo ,Albert Camus,Debolsillo,tapa blanda,149
339,Cuando no queden más estrellas que contar ,María Martínez,Crossbooks,tapa blanda,398
340,"Si lo crees, lo creas ",Brian Tracy,Debolsillo,tapa blanda,229
341,Pedro Páramo ,Juan Rulfo,RM,Multiformato,160
342,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa dura,199
343,Agenda Mercantil 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,335
344,Ejercicios Matemáticos 5 ,Varios autores,Larousse,tapa blanda,53
345,El pequeño libro de la realidad ,Odin Dupeyron,Disidente,tapa blanda,396
346,Así no es ,Viri Ríos,Grijalbo,tapa blanda,249
347,Dios. La ciencia. Las pruebas. ,Michel Yves Bollore,Oceano,tapa blanda,395
348,Cuentos gatunos ,Varios Autores,EDICIONES GANDHI,tapa dura,229
349,No te creas todo lo que piensas ,Joseph Nguyen,Aguilar Fontanar,Multiformato,199
350,Constitución política de los Estados Unidos Mexicanos 15a edición ,Miguel Carbonell,TIRANT LO BLANCH,tapa blanda,39
351,La paciente silenciosa ,Alex Michaelides,Alfaguara,Multiformato,439
352,Ejercicios de Ortografía 3 primaria ,Varios autores,Larousse,tapa blanda,52
353,Apología de Sócrates ,Platón,Gredos,tapa dura,99
354,SEDUCIENDO A MR: BRIDGERTON : BRIDGERTON 4 ,Julia Quinn,Titania,tapa blanda,345
355,La reina de espadas ,Jazmina Barrera,Lumen,Multiformato,319
356,Mis días en la librería Morisaki ,Satoshi Yagisawa,Plata,tapa blanda,195
357,Los alemanes ( Premio Alfaguara de novela 2024 ) ,Sergio del Molino,Alfaguara,tapa blanda,389
358,Romper el círculo (It Ends with Us) ,Colleen Hoover,Planeta,tapa blanda,348
359,Un animal salvaje ,Joël Dicker,Alfaguara,Multiformato,489
360,Balún-Canán ,Rosario Castellanos,Fondo De Cultura Economica,Multiformato,74
361,Ejercicios de Caligrafía 1 de primaria ,Varios autores,Larousse,tapa blanda,46
362,El Mundo de Sofía (pocket) ,Jostein Gaarder,Grupo Editorial Patria,tapa blanda,269
363,Cumbres Borrascosas ,Emily Brontë,Alianza editorial,tapa blanda,285
364,El infinito en un junco ,Irene Vallejo,Debolsillo,tapa blanda,429
365,El gato que decía adiós ,Hiro Arikawa,Lumen,tapa blanda,289
366,Los recuerdos del porvenir ,Elena Garro,Alfaguara,Multiformato,429
367,Ejercicios de Ortografía 1 primaria ,Varios autores,Larousse,tapa blanda,52
368,"TD Recupera tu mente, reconquista tu vida ",Marian Rojas Estapé,Espasa México,tapa blanda,428
369,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa blanda,99
370,Los demonios del Edén ,Lydia Cacho,Debolsillo,tapa blanda,351
371,Fabricante de lágrimas ,Erin Doom,Montena,tapa blanda,479
372,LIBRO MAGNETICO BLUEY ,NOVELTY,NOVELTY EDICIONES,tapa dura,197
373,Ejercicios de Caligrafía 3 de primaria ,Varios autores,Larousse,tapa blanda,46
374,Trece latas de atún ,Amandititita,Debolsillo,tapa blanda,179
375,Los sueños de mis fantasmas ,Irene Vallejo Moreu,unam,tapa blanda,38
376,EL VIZCONDE QUE ME AMO : BRIDGERTON 2 ,Julia Quinn,Titania,tapa blanda,340
377,Los vivos ,Emiliano Monge,Random House,Multiformato,299
378,AUTOBIOGRAFIA DE UN YOGUI ,Paramahansa Yogananda,Self-realization fellowship,tapa blanda,250
379,Una corte de hielo y estrellas ,Sarah J. Maas,Booket México,tapa blanda,228
380,EL ARTE DE LA GUERRA ,Sun Tzu,Gandhi editores,tapa dura,249
381,Los puntos sobre las íes ,Maria Amparo Casar,Debate,tapa blanda,299
382,Ejercicios de Caligrafía 5 de primaria ,Varios autores,Larousse,tapa blanda,46
383,"República, Parménides ",Platón,Gredos,tapa dura,99
384,El acto de crear ,Rick Rubin,Diana México,tapa blanda,398
385,TE DOY MI CORAZON : BRIDGERTON 3 ,Julia Quinn,Titania,tapa blanda,345
386,Wiccapedia ,SHAWN ROBBINS,Librero,tapa dura,299
387,Mentalidad mamba ,Kobe Bryant,Planeta,tapa blanda,388
388,Invasión silenciosa ,Jenaro Martínez López,Hachette Literatura,tapa blanda,379
389,Intensamente 2. Libro de arte y Emociones ,Disney,Planeta Infantil México,tapa blanda,128
390,Los ojos de Mona ,Thomas Schlesser,Lumen,tapa blanda,449
391,Cuchillo ,Salman Rushdie,Random House,tapa blanda,249
392,Amor Liquido. Acerca De La Fragilidad De Los Vinculos Humanos: Acerca De La Fragilidad De Los Vincul ,Zygmunt Bauman,Fondo De Cultura Economica,tapa blanda,135
393,Ejercicios Matemáticos 1 ,Varios autores,Larousse,tapa blanda,53
394,El enigma de la habitación 622 ,Joël Dicker,Alfaguara,tapa blanda,219
395,El color de las cosas invisibles ,Andrea Longarela,Crossbooks México,Multiformato,298
396,Miles de pececitos devoran mi neurosis ,María Elena López Lacroix,Hachette Literatura,tapa blanda,299
397,Temporada de huracanes ,Fernanda Melchor,Literatura Random House,tapa blanda,299
398,La tonalidad del pensamiento ,Byung-Chul Han,Paidos México,tapa blanda,229
399,Los 7 hábitos de la gente altamente efectiva. Ed. revisada y actualizada ,Stephen R. Covey,Booket,tapa blanda,269
